#OS,Criado por,Tipo OS,Dt Criação,Viab/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS052/2011,Ariana,Retirada de Equipamento,27/04/11,,,,Fibra Apagada,,,Montreal,,O Circuito BHE-01-0013-00-001 será mantido como definitivo - Retirada de link temporário (retirada de Jumper na SVS) ,"Av Afonso Pena, 4001, Cruzeiro / Av do Contorno, 6920, Lourdes.",Concluído,,03/05/2011,,,,"0,00",,,,"0,00",Ok,
OS053/2011,Ariana,Implantação,28/04/11,,,,EILD,2 Mbps,,CTBC,Pipe Sistemas Ltda.,Instalação de EILD - 2 Mbps - Ativação e homologação de circuito,"PONTA A: R. Domingos Vieira, 343 / PONTA B: R. Maranhão, 223",Concluído,,13/05/2011,"1.371,46","425,00","666,00","2.462,46","1.287,80","425,00","771,50","2.484,30",Ok,"-21,84"
OS054/2011,Ariana,Implantação,28/04/11,,,18/05/2011,EILD,2 Mbps,,CTBC,Hiper Carijos,Instalação de EILD - 2 Mbps,"Av. Getúlio Vargas, 291",Cancelada,,,,,,"0,00",,,,"0,00",-,
OS055/2011,Ariana,Implantação,28/04/11,,20,18/05/2011,EILD,2 Mbps,,CTBC,Tracbel S/A,Instalação de EILD - 2 Mbps - Instalação de novo serviço cliente CTBC,Cancelada,Cancelada,,14/06/2011,"1.044,16","410,00","551,60","2.005,76","1.291,74","410,00","472,12","2.173,86",-,"-168,10"
OS056/2011,Ariana,Implantação,28/04/11,,25,23/05/2011,EILD,4 Mbps,,WKVE,Meta 3,Instalação de EILD - 4 Mbps,"Rua Paraiba, 1323 / Rua Jorge Marine - Serra do Curral, 571, Belvedere",Concluído,,30/05/2011,"4.272,90","1.740,00","4.559,90","10.572,80","4.581,73","1.740,00","4.880,00","11.201,73",Ok,"-628,93"
OS057/2011,Djalma,Implantação,02/05/11,,5,07/05/2011,IP Flex,10 Mbps,,Katchum Eventos,,Instalação de IP Flex - 10Mbps,"Ativação de cliente - Localizado no Shopping Boulevard - Av Andradas, 3030, Santa Efigênia",Concluído,,23/05/2011,"1.983,31","1.220,00","564,00","3.767,31","1.543,26","1.220,00","696,70","3.459,96",Ok,"307,35"
OS058/2011,Ariana,Retirada de Equipamento,03/05/11,,,,,,,BMG,,"O roteador do circuito BHE-03-0016-02-002 será alocado para o circuito BHE-03-0016-02-008, e o roteador do BHE-03-0016-02-008 será recolhido",Retirada de equipamento e transferência de roteador,Concluído,,03/05/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS059/2011,Ariana,Implantação,03/05/11,PE 031/2011,20,23/05/2011,Fibra Apagada,,,Mercantil do Brasil,,"Instalação de Fibra Apagada, circuito ativado.","Rua Teixeira Soares, 595, Centro / Rua Rio de Janeiro, 654, Centro",Concluído,,31/05/2011,"4.197,92","4.180,00","2.234,90","10.612,82","2.474,96","4.180,00","1.312,30","7.967,26",Ok,"2.645,56"
OS060/2011,Ariana,Retirada de Equipamento,04/05/11,,,,Connect Flex,2 Mbps,,Unimed,,Circuito cancelado BHE-07-0001-02-023 - retirado conversor e cto do cliente,"Av Francisco Sales, 1483, Santa Efigênia / Rua Domingos Vieira, 120, Santa Efigênia ",Concluído,,11/05/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS061/2011,Ariana,Retirada de Equipamento,05/05/11,,,,,,,Bernoulli,,Retirar das instalações do cliente 01 toteador cisco 1841 e 01 conversor óptico,"Ponta A: Rua Gonçalves Dias, 1738 - 1º e 4º andares",Concluído,,05/05/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS062/2011,Ariana,Alteração de Serviço,05/05/11,,,,EILD,250 Mbps,,Global Crossing,Valenet,alteração de velocidade de 200Mbps para 250Mbps,Ponta: Serra do Curral / Ponta B: POP Serra,Concluído,,09/05/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS063/2011,Ariana,Implantação,06/05/11,,,,EILD,34 Mbps,,Intelig,Century Telecom,instalação de EILD - 34Mbps - Century Telecom,"Rua Geraldo Teixeira da Costa, 69, Floresta / Av. Raga Gablagia, 4091, Santa Lucia",Concluído,,23/05/2011,"2.362,76","565,00","476,00","3.403,76","1.725,56","565,00","743,73","3.034,29",Ok,"369,47"
OS064/2011,Djalma,Expansão,09/05/11,,,19/05/2011,,,,Telbrax,,Lançamento de cabo em dutos CTBC para ampliação de rota!,Lançamento cabo em dutos para ampliação de rota POP TTX,Concluído,,09/08/2011,"10.243,15","3.530,00","3.716,50","17.489,65","11.562,51","3.530,00","6.606,80","21.699,31",Ok,"-4.209,66"
OS065/2011,Ariana,Implantação,12/05/11,,18,30/05/2011,EILD,2 Mbps,,Intelig,SONDA PROCWORK INFORMÁTICA LTDA.,Instalação de EILD - 2 Mbps / Instalação de Serviço - Sonda Procwork (Intelig),"Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta / Av Raja Gablagia, 2660, Cj Santa Maria ",Concluído,,23/05/2011,"665,03","425,00","213,00","1.303,03","629,46","425,00","441,70","1.496,16",Ok,"-193,13"
OS066/2011,Djalma,Mudança de Endereço,16/05/11,,,,,,,A&C,,,Circuito bhe-07-0024-02-005,Concluído,,02/07/2011,"930,20","170,00",,"1.100,20","930,20","170,00",,"1.100,20",Ok,"0,00"
OS067/2011,Djalma,Mudança de Endereço,16/05/11,,,,,,,A&C,,,Circuito bhe-07-0024-02-006,Concluído,,02/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS068/2011,Djalma,Mudança de Endereço,16/05/11,,,,,,,A&C,,,Circuito bhe-07-0024-02-002,Concluído,,05/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS069/2011,Djalma,Expansão,18/05/11,,,,,,,Telbrax,,Rota Nova para interligação de troncos,interligação de troncos TR0703D com TR0306B,Concluído,,05/07/2011,"18.018,37","7.950,00","7.695,00","33.663,37","20.811,14","7.950,00","7.706,07","36.467,21",Ok,"-2.803,84"
OS070/2011,Djalma,Implantação,19/05/11,PE055/2011,20,08/06/2011,Fibra Apagada,,,Mercantil do Brasil,Ponta A,Instalaçao de um novo cabo para redundância do cliente,"Rua Teixeira Soares, 595, Centro / Rua Rio de Janeiro, 654, Centro",Concluído,,29/06/2011,"11.078,07","2.420,00","3.698,00","17.196,07","10.903,55","2.420,00","4.257,45","17.581,00",Ok,"-384,93"
OS071/2011,Djalma,Expansão,19/01/11,,,19/07/2011,Fibra Apagada,,,Mercantil do Brasil,Ponta B,Instalaçao de um novo cabo para redundância do cliente,,Concluído,,04/08/2011,"13.849,81","2.100,00","8.582,50","24.532,31",,,,"0,00",Incompleta,"24.532,31"
OS072/2011,Djalma,Expansão,20/05/11,,,,,,,Telbrax,TIM,PPI TIM - Raja Gabaglia 1781,Raja Gabaglia 1781,Concluído,,19/07/2011,"6.989,40","2.060,00","1.469,00","10.518,40","7.287,76","2.060,00","2.890,00","12.237,76",Ok,"-1.719,36"
OS073/2011,Ariana,Implantação,20/05/11,PE028/2010,30,19/06/2011,IP Flex,2 Mbps,,Loja Elétrica,,IP Flex - Engenho Nogueira ,"Rua Professor José Vieira de Mendonça, 11, Engenho Nogueira",Concluído,,13/06/2011,"2.877,23","1.110,00","597,50","4.584,73","2.858,73","1.110,00","1.703,50","5.672,23",Ok,"-1.087,50"
OS074/2011,Ariana,Implantação,20/05/11,PE028/2010,30,19/06/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Alphonsus Guimarães,"Rua Professor José Vieira de Mendonça, 11, Engenho Nogueira",Concluído,,15/06/2011,"26.427,06","2.130,00","6.094,50","34.651,56","26.188,13","2.130,00","4.944,00","33.262,13",Ok,"1.389,43"
OS075/2011,Ariana,Implantação,20/05/11,,,27/07/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Centro,Instalação de Connect Flex Multi - Centro,Concluído,,27/07/2011,"3.751,25","1.215,00","3.136,00","8.102,25","1.831,03","1.215,00","3.492,00","6.538,03",Ok,"1.564,22"
OS076/2011,Ariana,Implantação,20/05/11,,,,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Sion,Instalação de Connect Flex Multi - Sion,Concluído,,11/07/2011,"1.790,36","340,00","847,86","2.978,22","1.601,73","340,00","957,16","2.898,89",Ok,"79,33"
OS077/2011,Ariana,Implantação,20/05/11,,,30/09/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - V&M,Instalação de Connect Flex Multi - V&M,Em Execução,Em fase de cadastramento na V&M (Djalma),,"3.923,07","510,00","13.270,00","17.703,07",,,,"0,00",-,"17.703,07"
OS078/2011,Ariana,Implantação,20/05/11,,,,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Pedro II,Instalação de Connect Flex Multi - Pedro II,Concluído,,11/07/2011,"1.115,11","370,00","392,95","1.878,06","903,38","642,95","370,00","1.916,33",Ok,"-38,27"
OS079/2011,Ariana,Implantação,20/05/11,,,27/07/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Ceasa,Instalação de Connect Flex Multi - Ceasa,Concluído,,27/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS080/2011,Ariana,Implantação,20/05/11,,,30/09/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Acesita/Timóteo,Instalação de Connect Flex Multi - Timóteo,Em Execução,Aguard. lib. da Seg. (envio doc.) - Aguardando Cliente (Djalma),,,,"1.500,00","1.500,00",,,,"0,00",-,"1.500,00"
OS081/2011,Ariana,Implantação,20/05/11,,,14/07/2011,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - João Monlevade/Arcelor Mittal,Instalação de Connect Flex Multi - João Monlevade,Concluído,,18/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS082/2011,Ariana,Implantação,20/05/11,,,,Connect Flex Multi,2 Mbps,,Loja Elétrica,,Connect Flex Multi - 2 Mbps - Ipatinga/Usiminas,Instalação de Connect Flex Multi - Ipatinga,Concluído,,15/07/2011,,,,"0,00",,,,"0,00",Ok,"0,00"
OS083/2011,Ariana,Implantação,20/05/11,PE028/2010,30,19/06/2011,Connect Flex Multi,10 Mbps,,Loja Elétrica,,Connect Flex Multi - 10 Mbps - Engenho Nogueira,"Rua Professor José Vieira de Mendonça, 11, Engenho Nogueira",Concluído,,15/06/2011,"777,80",,,"777,80",,,,"0,00",Incompleta,"777,80"
OS084/2011,Djalma,Expansão,24/05/11,,,20/08/2011,,,,Telbrax,,Ampliação de rede - POP SVS - Raja Gabaglia,,Concluído,,12/09/2011,"24.511,29","6.750,00","8.372,50","39.633,79","22.884,65","6.750,00","14.492,00","44.126,65",Ok,"-4.492,86"
OS085/2011,Ricardo,Manutenção,24/01/11,,,,,,,Telbrax,,Manutenção - Acidente Árvore ,Rua Maranhão,Concluído,,26/01/2011,,,,"0,00","157,30",,"250,00","407,30",Ok,"-407,30"
OS086/2011,Ricardo,Manutenção,17/02/11,,,,,,,Telbrax,,Fixação de emendas e arremates nos cabos existentes,Serra do Curral,Concluído,,17/02/2011,,,,"0,00","18,90",,"250,00","268,90",Ok,"-268,90"
OS087/2011,Ricardo,Manutenção,17/02/11,,,,,,,Telbrax,,Acidente (rompimento) em cabo existente - Globalbev,Rua Campo Belo,Concluído,,17/02/2011,,,,"0,00","234,10",,"250,00","484,10",Ok,"-484,10"
OS088/2011,Ricardo,Levantamento de Rede,17/02/11,,,,,,,Telbrax,,Levantamento prévio de rede subterrâmea,Centro BH,Concluído,,17/02/2011,,,"250,00","250,00",,,"250,00","250,00",Ok,"0,00"
OS089/2011,Ricardo,Manutenção,01/03/11,,,,,,,Telbrax,,Rearranjo de cabo,Via Expressa (Bairro Califórnia),Concluído,,01/03/2011,,,,"0,00","278,20",,"250,00","528,20",Ok,"-528,20"
OS090/2011,Ricardo,Manutenção,01/03/11,,,,,,,Telbrax,,Fixação de tubo lateral com vedação , Av. Tereza Cristina,Concluído,,01/03/2011,,,,"0,00","107,61",,"250,00","357,61",Ok,"-357,61"
OS091/2011,Ricardo,Manutenção,22/03/11,,,,,,,Telbrax,,Reinstalação de cabo existente em poste novo,Próximo TBX Serra,Concluído,,22/03/2011,,,,"0,00","25,90",,"250,00","275,90",Ok,"-275,90"
OS092/2011,Ricardo,Manutenção,04/05/11,,,,,,,Telbrax,,Espinamento de cabo em travessia,Av. Bernardo Monteiro,Concluído,,04/05/2011,,,,"0,00","137,05",,"250,00","387,05",Ok,"-387,05"
OS093/2011,Ricardo,Manutenção,05/05/11,,,,,,,Telbrax,,Lançamento de cabo e cordoalha rompido instalação de Optloop,V&M,Concluído,,01/01/1900,,,,"0,00","185,89",,"250,00","435,89",Ok,"-435,89"
OS094/2011,Ricardo,Manutenção,06/05/11,,,,,,,Telbrax,,Manutenção em cabo existente e instação de raquete oval,Minas France,Concluído,,06/05/2011,,,,"0,00","144,70",,"250,00","394,70",Ok,"-394,70"
OS095/2011,Ricardo,Manutenção,06/05/11,,,,,,,Telbrax,,Rompimento/Troca de Cabo: Remoção do cabo existente e lançamento de cabo AS, Via Expressa,Concluído,,06/05/2011,,,,"0,00","71,44",,"666,00","737,44",Ok,"-737,44"
OS096/2011,Ricardo,Manutenção,28/01/11,,,,,,,Telbrax,,"Sustentação em 3 postes na Rua Carioca, cabos foram cortados por terceiros",Rua Carioca,Concluído,,28/01/2011,,,,"0,00",,,"320,00","320,00",Ok,"-320,00"
OS097/2011,Ricardo,Manutenção,28/01/11,,,,,,,Telbrax,,Equipamento de poste para nivelamento de rede,Rua José Moreira Mota,Concluído,,28/01/2011,,,,"0,00","11,07",,"320,00","331,07",Ok,"-331,07"
OS098/2011,Ricardo,Manutenção,28/01/11,,,,,,,Telbrax,,"Nivelamento de cordoalha e espinamento de cabo, corrigindo espinamento em 4 lances",Via Expressa c/ R. Sto. Antônio,Concluído,,28/01/2011,,,,"0,00","29,36",,"500,75","530,11",Ok,"-530,11"
OS099/2011,Ricardo,Manutenção,31/01/11,,,,,,,Telbrax,,Manutenção de Rede, Av. Prof. Mário Werneck,Concluído,,31/01/2011,,,,"0,00","11,07",,"320,00","331,07",Ok,"-331,07"
