#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS074/2012,Mário,Implantação,16/02/2012,,13,29/02/2012,Connect Flex,50 Mbps,,Ação Assessoria,,Implantação de connect Flex,"Ponta A: Av. Afonso Pena, 578, 2º andar, Centro/ Ponta B: Av. Álvares Cabral, 200, 7º andar, centro",Em Execução,Djalma - Pendência de finalização infra interna do cliente,,"5.344,23","1.440,00","670,95","7.455,18","446,80","1.440,00","686,75","2.573,55",-,"4.881,63"
OS075/2012,Mário,Manutenção,16/02/2012,,0,16/02/2012,,,,Telbrax Ltda,,Troca de ar condicionado POP PRO,"Rua Padre Rolim, 18, sl 404 - Sta Efigênia",Concluído,Ruan / Marcos,02/03/2012,"1.099,00",,,"1.099,00",,,,"0,00",Incompleta,"1.099,00"
OS076/2012,Djalma,Expansão,09/04/2012,,,20/04/2012,,,,Telbrax,,Implantação de rede subterrânea em dutos novos na Av. Amazonas,Expansão de Back bone,Concluído,,27/05/2012,"110.310,00","52.140,00","15.640,00","178.090,00","320,00",,"4.688,00","5.008,00",Ok,"173.082,00"
OS077/2012,Mário,Infraestrutura,17/02/2012,,5,22/02/2012,,,,Telbrax Ltda,,Construção de dutos no centro,"Rua Espírito Santo, 1000",Concluído,,17/02/2012,"655,00",,"3.730,00","4.385,00","689,00",,"3.089,00","3.778,00",Ok,"607,00"
OS078/2012,Mário,Mudança de endereço,17/02/2012,,20,12/04/2012,Fibra Apagada,,,Unimed,,Mudança de endereço da ponta B fibra apagada designação BHE-00-0001-00-026,"Ponta B(antiga): RUa Itambé, 114(Ativas)/Ponta B(novo end): Rua Agenério de Araújo, 20, Bairro Camargos - BH/MG",Concluído,,28/05/2012,"56,24","700,00",,"756,24",,,,"0,00",Incompleta,"756,24"
OS079/2012,Mário,Mudança de endereço,17/02/2012,,45,27/04/2012,Fibra Apagada,,,Unimed,,Mudança de endereço da ponta B fibra apagada designação BHE-00-0001-00-026B,"Ponta B(antiga): RUa Itambé, 114(Ativas)/Ponta B(novo end): Rua Agenério de Araújo, 20, Bairro Camargos - BH/MG",Em Execução,José Fernando,,,,,"0,00","6.561,56",,"36.000,00","42.561,56",-,"-42.561,56"
OS080/2012,Mário,Alteração de serviço,17/02/2012,,0,17/02/2012,IP Flex,,,Banco Pottencial,,Upgrade do circuito BHE-01-0037-01-003 de 2 para 3 Mbps,Unidade Afonso Pena,Concluído,,22/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS081/2012,Mário,Alteração de serviço,17/02/2012,,0,17/02/2012,IP Flex,,,Banco Pottencial,,Downgrade do circuito BHE-07-0037-01-004 de 1 para 2 Mbps,Unidade Rio Grande do Norte,Concluído,,22/02/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS082/2012,Pedro,Implantação,17/02/2012,,,28/02/2012,,,,Cimcorp,MGS,"Lançamento de cabo Definitivo - Av. Alvares Cabral, 200 - Rota Rua da Bahia","Alvares Cabral, 200 - Rota Rua da Bahia",Concluído,,03/04/2012,"1.755,40","1.030,00","885,00","3.670,40","1.751,50","1.030,00","619,00","3.400,50",Ok,"269,90"
OS083/2012,Pedro,Implantação,17/02/2012,,,28/02/2012,,,,Cimcorp,MGS,"Lançamento de cabo Definitivo - Av. Alvares Cabral, 200 - Rota Alvares Cabral","Alvares Cabral, 200 - Rota Rota Alvares Cabral",Concluído,,26/03/2012,"3.363,90","460,00","1.084,30","4.908,20","2.707,20","460,00","1.943,00","5.110,20",Ok,"-202,00"
OS084/2012,Carlos,Implantação,20/02/2012,,,22/02/2012,IP Flex,1 Mbps,/28,Telbrax,,Laboratório de testes de homologação dos roteadores Juniper MX5 - Conexão de gerenciamento,,Em Execução,Interna  (Rubens),,"0,00",,,"0,00","0,00",,,"0,00",-,"0,00"
OS085/2012,Carlos,Implantação,20/02/2012,,,22/02/2012,Colocation,,,Telbrax,,Laboratório de testes de homologação dos roteadores Juniper MX5 - Instalação física,,Concluído,Jan / Rubens: instalado os switch fisicamente no rack ,29/02/2012,"0,00",,,"0,00","0,00",,,"0,00",Ok,"0,00"
OS086/2012,Mário,Implantação,22/02/2012,,7,29/02/2012,,,,Telbrax,,Instalação de rede Telbrax,"End: Rua José Benedito, 79, Caiçaras - BH/MG0",Concluído,,16/03/2012,"25,30","1.765,00",,"1.790,30",,,,"0,00",Incompleta,"1.790,30"
OS087/2012,Mário,Implantação,22/02/2012,,,,Fibra Apagada,,,Banco Bonsucesso,,Instalação de fibra apagada sede - Hannover - Rota 1,,Concluído,,26/05/2012,"26,68","160,00",,"186,68",,,,"0,00",Incompleta,"186,68"
OS088/2012,Mário,Implantação,22/02/2012,,,,Fibra Apagada,,,Banco Bonsucesso,,Instalação de fibra apagada sede - Hannover - Rota 2,,Concluído,,26/05/2012,"26,68","160,00",,"186,68",,,,"0,00",Incompleta,"186,68"
OS089/2012,Rubens,Implantação,23/02/2012,,6,27/04/2012,Fibra Apagada,,,Telbrax,,Fibra apagada POP SRA - POP PRO (interligação dos roteadores de core),,Planejamento,Aguardando definições da coordenação para executar a ativação da FA. - Pendente OS 084/2012,,"0,00","0,00","0,00","0,00","0,00",,,"0,00",-,"0,00"
OS090/2012,Mário,Implantação,27/02/2012,,,,,,,Telbrax,,Implantação de POP Eletronet,,Concluído,,28/03/2012,,,,"0,00",,,,"0,00",Ok,"0,00"
OS091/2012,Mário,Retirada,27/02/2012,,0,01/03/2012,EILD,,,Global Crossing,Corval Corretora,OS para retirada de equipamento do antigo endereço do cliente,"Ponta A: Av. Bandeirantes, 1778",Concluído,,27/02/2012,,"200,00",,"200,00",,,,"0,00",Ok,"200,00"
OS092/2012,Mário,Expansão,28/02/2012,,,30/07/2012,,,,Telbrax,,Boulevard Arrudas V,"Av. Tereza Cristina, nº244 até  esquina da Rua Aquidabam com av. Tereza Cristina",Em Execução,Em Execução Sudecap e Mendez Junior (Jose Fernando),,"33.550,00",,"3.333,33","36.883,33",,,,"0,00",-,"36.883,33"
OS093/2012,Rubens,Datacenter,29/02/2012,,5,05/03/2012,Colocation (temporário),,,Superbuy,Superbuy,Colocation temporário para teste de migração do storage da Superbuy para storage Telbrax,,Concluído,Não aconteceu poius a Superbuy não consegiu usar a storage.,10/03/2012,"0,00",,,"0,00","0,00",,,"0,00",Ok,"0,00"
OS094/2012,Rubens,Datacenter,29/02/2012,,5,05/03/2012,Part Storage,,,Superbuy,Superbuy,Superbuy está contratando espaço no storage da Telbrax (o storage da superbuy será desativado),,Concluído,Rubens,10/03/2012,"0,00",,,"0,00","0,00",,,"0,00",Ok,"0,00"
OS095/2012,Mário,Implantação,01/03/2012,,20,21/03/2012,IP Flex,2 Mbps,,Loja Elétrica,,Implantação de rota redundante de atendimento ao IP Flex(Engenho Nogueira),"Ponta A: Rua Professor José Vieira de Mendonça, 11, Engenho Nogueira - BH/MG",Concluído,,15/03/2012,"1.800,63","265,00","426,00","2.491,63","581,00","265,00","1.551,56","2.397,56",Ok,"94,07"
OS096/2012,Jan,Datacenter,01/03/2012,,1,02/03/2012,Colocation ,,,G8,G8,Colocation de um switch de DM3000 no Rack de parceiros,POP-SRA,Concluído,Rubens: Foi instalado no rack de parceiros,01/03/2012,"0,00","0,00","0,00","0,00","0,00",,,"0,00",Ok,"0,00"
OS097/2012,Jan,Implantação ,01/03/2012,,2,02/03/2012,Fibra Apagada,,,G8,G8,Fibra Apagada entre a Intelig da Floresta com o POP-SRA,Ponta a Rua Geraldo Teixeira da Costa 61 Floresta. POP-SRA,Concluído,,12/03/2012,"77,44","540,00",,"617,44",,,,"0,00",Incompleta,"617,44"
OS098/2012,Mário,Implantação,02/03/2012,,,15/03/2012,IP Flex,100 Mbps,/30,Sambatech,Rede Globo,OS para implantação de IP Flex para Sambatech em São Paulo,"Av. Paulista, 900 - São Paulo - SP",Concluído,,28/03/2012,"10.281,39","710,00",,"10.991,39","15.786,39",,,"15.786,39",Ok,"-4.795,00"
OS099/2012,Mário,Implantação,02/03/2012,,,15/03/2012,IP Flex,100 Mbps,/30,Sambatech,Rede Globo,OS para implantação de IP Flex para Sambatech em Rio de Janeiro,"Av. Presidente Vargas, 3131 (Teleporto) e R. Von Martius, 22 (Globo Jardim Botânico)",Concluído,,07/05/2012,"66.881,86",,,"66.881,86",,,,"0,00",Incompleta,"66.881,86"
OS100/2012,Mário,Implantação,02/03/2012,,,15/03/2012,IP Flex,100 Mbps,/30,Adstream - Ed. Landmark,,Construção de dutos e lançamento de cabo para implantação de IP flex no 7º andar,"Av. Nações Unidas, 12399, entrada pela Rua Flórida",Concluído,,29/03/2012,"4.447,01","1.170,00","1.899,00","7.516,01","17.477,01",,"7.813,21","25.290,22",Ok,"-17.774,21"
OS101/2012,Djalma,Expansão,20/03/2012,,,20/03/2012,,,,Telbrax Ltda,,Implantação de rede - Expansão BETIM,,Concluído,,,"130.309,50","21.460,00","28.980,00","180.749,50","143.537,66",,"39.937,64","183.475,30",Ok,"-2.725,80"
OS102/2012,Pedro,Manutenção,21/12/2012,,,21/12/2012,,,,Telbrax,,Acidente noturno próximo ao Carrefour ,,Concluído,,21/12/2011,"800,00",,"470,00","1.270,00","800,00",,"470,00","1.270,00",Ok,"0,00"
OS103/2012,Mário,Suspensão,05/03/2012,,0,05/03/2012,Connect Flex,5 Mbps,,Net Service,,OS para suspensão do serviços por falta de pagamento,,Concluído,,07/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS104/2012,Mário,Suspensão,05/03/2012,,0,05/03/2012,IP Flex,5 Mbps,,Net Service,,OS para suspensão do serviços por falta de pagamento,,Concluído,,07/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS105/2012,Pedro,Manutenção,05/03/2012,,,05/03/2012,,,,,,Manutenção correção de espinamento de cabo e arame arrebentado amarrado no meio do lance,Rua Timbiras 1539 entre Avenida João Pinheiro e rua da Bahia,Concluído,,05/03/2012,,,"380,00","380,00",,,"380,00","380,00",Ok,"0,00"
OS106/2012,Mário,Retirada,06/03/2012,,0,06/03/2012,Connect Flex,600 Mbps,,Valenet,,Cancelamento do serviço conforme solicitação do cliente,Ponta A:POP Valenet (Hotel Quality)/Ponta B: POP Valenet (Serra do Curral),Concluído,,06/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS107/2012,Mário,Implantação,06/03/2012,,35,10/04/2012,EILD,100 Mbps,,Intelig,Embraer,Implantação de rota principal para EILD 100 Mbps,"Ponta A: Rua Jornalista Geraldo Teixeira da COsta, 61, Floresta - BH/MG/ Ponta B: Av. José Cândido da Silveira, 200, Horto",Cancelada,,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS108/2012,Mário,Implantação,06/03/2012,,50,25/04/2012,EILD,100 Mbps,,Intelig,Embraer,Implantação de rota redundante para EILD 100 Mbps,"Ponta A: Rua Jornalista Geraldo Teixeira da COsta, 61, Floresta - BH/MG/ Ponta B: Av. José Cândido da Silveira, 200, Horto",Cancelada,,,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS109/2012,Mário,Implantação,07/03/2012,,7,14/03/2012,IP Flex,1 Mbps,,BHTEC,ENACOM,Implantação de IP Flex no BHTEC para atendimento da ENACOM,"Ponta A: Rua Professor José Vieira, nº770, salas 406/407, 4º andar, bairro Engenho Nogueira - BH/MG",Concluído,,,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS110/2012,Djalma,Implantação,08/03/2012,,15,23/03/2012,,,,Telbrax,,"Construção de furos e caixa R1, para acesso via MND abaixo da ferrovia no centro de Betim",Telbrax - BackBone - Axial,Concluído,,10/03/2012,"380,00",,"8.010,00","8.390,00","1.007,20",,"7.934,81","8.942,01",Ok,"-552,01"
OS111/2012,Djalma,Implantação,08/03/2012,,15,23/03/2012,,,,Telbrax,,"Construção de furos e caixa R1, para acesso via MND abaixo da ferrovia no distrito industrial Paulo Camilo Oliveira",Telbrax - BackBone,Concluído,,10/03/2012,"380,00",,"8.010,00","8.390,00","1.227,20",,"7.594,81","8.822,01",Ok,"-432,01"
OS112/2012,Djalma,Implantação,08/03/2012,,15,23/03/2012,,,,Telbrax,,"Construção de furos e caixa R1, para acesso via MND abaixo da Cristiano Machado cruzamento Geraldo Faria de Souza",Telbrax - BackBone - Intelig,Cancelada,Prédio para atendimento não está pronto,,"600,00",,"8.330,00","8.930,00",,,,"0,00",-,"8.930,00"
OS113/2012,Mário,Implantação,09/03/2012,,14,23/03/2012,Connect Flex,,,Laboratório São Marcos,,OS para construção de rota redundante Ponta B Lab São Marcos,"Ponta B: Av. do Contorno, 9797, Prado",Concluído,,23/03/2012,"5.734,02","265,00","1.705,30","7.704,32","4.165,23","265,00","2.547,90","6.978,13",Ok,"726,19"
OS114/2012,Mário,Implantação,09/03/2012,,1,12/03/2012,IP Flex,200 Mbps,,GW Telecom,,Os para implantação de IP Flex (Porta IP). Durante os primeiros 60 dias serão liberados 150 mbps.,Ponta A: POP Serra do Curral,Concluído,,13/03/2012,"1.867,53","265,00","328,50","2.461,03","317,70","265,00","307,50","890,20",Ok,"1.570,83"
OS115/2012,Wendell,Expansão,12/03/2012,,45,27/04/2012,,,,Telbrax,,Expansão de Rede entre POP SRA e POP PRO,Telbrax Backbone ,Em Execução,Dependente entrada Sub POP-SERRA (em aprovação Diretoria),,"21.359,20","5.075,00","6.780,00","33.214,20","25.250,00","5.075,00","5.704,00","36.029,00",-,"-2.814,80"
OS116/2012,Djalma,Implantação,14/03/2012,PE089/2011,30,13/04/2012,,,,Telbrax,,Fornecimento de tampas de caixas para instalação nas caixas construídas no centro de Betim,"Avenida Amazonas, entre ruas José Felix da Mata e Rua Santa Cruz",Em Execução,Essa obra está sendo executada apenas para fornecimento de tampas de caixas (José Fernando),,"7.650,00",,,"7.650,00",,,,"0,00",-,"7.650,00"
OS117/2012,Djalma,Implantação,14/03/2012,,30,13/03/2012,,,,Telbrax,,SMARU 010-2011 - BRT Cristiano Machado - Fornecimento de dutos e tampas de caixas para instalação nas caixas construídas na obra do BRT,"Av. Cristiano Machado, entre estação São Gabriel e Rua Itaúna",Em Execução,Prefeitura irá executar travessias. Caixas de serviço serão construídas pela TBX. (José Fernando),,"2.689,50",,"3.000,00","5.689,50",,,,"0,00",-,"5.689,50"
OS118/2012,Pedro,Manutenção,15/03/2012,,,13/03/2012,,,,Telbrax,,Troca de poste Cemig ,"Av. David Sarnoff 2690, Contagem",Concluído,,15/03/2012,"89,32",,"655,00","744,32","89,32",,"655,00","744,32",Ok,"0,00"
OS119/2012,Mário,Implantação,19/03/2012,,4,23/03/2012,EILD,100 Mbps,,Intelig,Embraer,Implantação de rota principal EILD 100 Mbps ,Professor José Vieira de Mendonça 770  - Engenheiro Nogueira,Concluído,,21/03/2012,"80,00","0,00","120,00","200,00","99,20",,"165,00","264,20",Ok,"-64,20"
OS120/2012,Mário,Implantação,19/03/2012,,4,23/03/2012,EILD,100 Mbps,,Intelig,Embraer,Implantação de rota redundante para EILD 100 Mbps,Professor José Vieira de Mendonça 770  - Engenheiro Nogueira,Concluído,,03/04/2012,"5.732,79","640,00","4.494,00","10.866,79","3.984,83","640,00","4.562,10","9.186,93",Ok,"1.679,86"
OS121/2012,Mário,Alteração de serviço,19/03/2012,,1,20/03/2012,IP Flex,5 Mbps,,Banco Pottencial,,UPgrade de circuito BHE-01-0037-01-003 para 5 Mbps,"Av. Afonso Pena, 4100, Cruzeiro",Concluído,,19/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS122/2012,Mário,Implantação,19/03/2012,,4,23/03/2012,IP Flex,1 Mbps,,BHTEC,Omined,Implantação de um IP Flex 1 Mbps no BHTEC ,"Ponta A: Rua Professor José Vieira, nº770, salas 409, 4º andar, bairro Engenho Nogueira - BH/MG",Concluído,,20/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS123/2012,Mário,Implantação,19/03/2012,,9,28/03/2012,IP Flex,5 Mbps,,BHTEC,Waycarbon,Implantação de um IP Flex 5 Mbps no BHTEC,"Ponta A: Rua Professor José Vieira, nº770, salas 210/212, 2º andar, bairro Engenho Nogueira - BH/MG",Concluído,,20/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS124/2012,Djalma,Implantação,21/03/2012,,,22/03/2012,,,,Loja Elétrica,Loja Elétrica,Montagem link redundante para atendimento de acordo com contrato,Loja Elétrica - Engenho Nogueira,Concluído,,21/03/2012,"732,86","1.085,00","154,00","1.971,86",,,,"0,00",Incompleta,"1.971,86"
OS125/2012,Mário,Retirada,21/03/2012,,,22/03/2012,,,,Laboratório São Marcos,,OS para retirada de equipamentos,"Rua Pará de Minas, 1035, Padre Eustáquio - BH/MG",Concluído,,22/03/2012,,"200,00",,"200,00",,,,"0,00",Ok,"200,00"
OS126/2012,Mário,Retirada,21/03/2012,,,22/03/2012,,,,Laboratório São Marcos,,OS para retirada de equipamentos,"Av. Do Contorno, 9797, Prado - BH/MG",Concluído,,22/03/2012,,"200,00",,"200,00",,,,"0,00",Ok,"200,00"
OS127/2012,Paulo,Serviços técnicos,21/03/2012,,,22/03/2012,,,,Telbrax,,Implantação / instalação de um SW DM3000 no POP provisório da Unotel em SP,"Rua Professor Jamil Anderaós, 119, Vila Cruzeiro - 04726-170 - São Paulo, SP",Concluído,,29/03/2012,"3.328,58","0,00","0,00","3.328,58","3.328,58",,,"3.328,58",Ok,"0,00"
OS128/2012,Pedro,Manutenção,22/03/2012,,,22/03/2012,,,,Telbrax,Expansão Betim,Troca de poste da Cemig - Expansão Betim,Avenida Juiz Marco Túlio / Vale do Paraopeba,Concluído,,22/03/2012,"9,20",,"320,00","329,20","9,20",,"320,00","329,20",Ok,"0,00"
OS129/2012,Pedro,Manutenção,22/03/2012,,,22/03/2012,,,,Telbrax,,Instalação de Raquete e cabo com cordoalha espinado,Rua Caveiro Lopes - Expominas,Concluído,,22/03/2012,"174,72",,"174,55","349,27","174,72",,"174,55","349,27",Ok,"0,00"
OS130/2012,Pedro,Manutenção,22/03/2012,,,22/03/2012,,,,Telbrax,,"Equipamento de poste, Arrumação de rede e espinamento de cabo, instalação de raquete e arrumação de cabos (Troca de Poste CEMIG)","Av. Cardeal Eugênio Pacelli , próximo ao nº 801",Concluído,,22/03/2012,"47,00",,"442,40","489,40","47,00",,"442,40","489,40",Ok,"0,00"
OS131/2012,Ruan,Expansão,22/03/2012,,,30/03/2012,,,,Telbrax,Telbrax,Adequação de energia do POP PRO,"Rua Padre Rolim, 18",Concluído,,13/05/2012,"1.906,26",,,"1.906,26",,,,"0,00",Incompleta,"1.906,26"
OS132/2012,Mário,Cancelamento,23/03/2012,,,23/03/2012,EILD,,,CTBC,Microcity,OS para desativação de circuito,"Ponta A: Alameda do Ingá, 650 - Vale do Sereno- MG (Microcity) - Nova Lima - MG/Ponta B: Av. do Contorno, 5351, Sala 1604 - Cruzeiro",Cancelada,Aguardando contato da CTBC,23/03/2012,"0,00","0,00","0,00","0,00",,,,"0,00",-,"0,00"
OS133/2012,Gabriel,Implantação,23/03/2012,,20,13/04/2012,,,,BHTEC,BHTEC,OS para a criação da rota redundante do BHTEC ,"Ponta A: Rua Professor José Vieira, nº770, salas 210/212, 2º andar, bairro Engenho Nogueira - BH/MG",Concluído,,11/04/2012,"576,52","305,00",,"881,52",,,,"0,00",Incompleta,"881,52"
OS134/2012,Mário,Implantação,26/03/2012,,21,27/04/2012,Connect Flex,,,Hermes Pardini,,OS para implantação de Connect Flex unidade Pedro II Hermes Pardini,"Ponta A: Rua Aimorés, 66, 5º andar - Funcionários/ Ponta B: Av. Pedro II, 2087, Carlos Prates",Concluído,"Ponta A, ok em 13/04/2012",07/05/2012,"1.867,89","380,00","445,10","2.692,99",,,,"0,00",Incompleta,"2.692,99"
OS135/2012,Ruan,Datacenter,27/03/2012,,10,06/04/2012,,,,Telbrax,Telbrax,Cálculo estrutural das lajes do 3° andar e loja,"Rua Pirapetinga, 322 - Sl 309 - Serra",Em Execução,Falta readequar os pesos (Ruan),,,,"1.800,00","1.800,00",,,,"0,00",-,"1.800,00"
OS136/2012,Gabriel,Implantação,27/03/2012,,10,06/04/2012,Co-location,,,Sambatech,Rede Globo - RJ,Instalação dos equipamentos Telbrax no Pop Unotel - Teleporto,Av Presidente Vargas 3131 - Centro RJ,Concluído,,05/05/2012,"69.104,56",,,"69.104,56",,,,"0,00",Incompleta,"69.104,56"
OS137/2012,Guilherme,Expansão,27/03/2012,,,,PPI-CTBC-02,,,Telbrax,Telbrax,Instalação de um Novo Switch PPI na CTBC,,Em Execução,Guilherme Jardin - Pendente pedido janela CTBC,,"3.631,46",,,"3.631,46","5.274,80",,,"5.274,80",-,"-1.643,34"
OS138/2012,Guilherme,Expansão,27/03/2012,,,,COL-BLV-02,,,Telbrax,Telbrax,Instalação de um Novo Switch Coletor no POP BLV,,Concluído,,03/04/2012,"4.668,38",,,"4.668,38","4.528,38",,,"4.528,38",Ok,"140,00"
OS139/2012,Guilherme,Expansão,27/03/2012,,,,COL-SRA-04_elétrico,,,Telbrax,Telbrax,Instalação de um Novo Switch Coletor (Elétrico) no POP SRA,"Rua Pirapetinga, 322 - Sl 309 - Serra",Concluído,,03/04/2012,"4.663,58",,,"4.663,58",,,,"0,00",Incompleta,"4.663,58"
OS140/2012,Ruan,Datacenter,28/03/2012,,,09/04/2012,,,,Telbrax,Telbrax,Aquisição do GMG 100 kVA,"Rua Pirapetinga, 322 - Sl 309 - Serra",Em Execução,Falta instalação do GMG (Ruan),,"80.000,00",,,"80.000,00",,,,"0,00",-,"80.000,00"
OS141/2012,Ruan,Datacenter,30/03/2012,,10,09/04/2012,,,,Telbrax,Telbrax,Aquisição do Ar condicionado 10 TR's,"Rua Pirapetinga, 322 - Sl 309 - Serra",Em Execução,Falta retirada dos equipamentos (Ruan),,"37.991,00",,"20.480,00","58.471,00",,,,"0,00",-,"58.471,00"
OS142/2012,Ruan,Datacenter,30/03/2012,,45,14/05/2012,,,,Telbrax,Telbrax,Aquisição do sistema de combate a incêndio,"Rua Pirapetinga, 322 - Sl 309 - Serra",Em Execução,"Compra fechada, início da fase de projeto civil (Ruan)",,"30.000,00",,,"30.000,00",,,,"0,00",-,"30.000,00"
OS143/2012,Ruan,Datacenter,30/03/2012,,45,14/05/2012,,,,Telbrax,Telbrax,Aquisição do No Break's do Data Center,"Rua Pirapetinga, 322 - Sl 309 - Serra",Planejamento,Dependendo da OS 084/2012 (Ruan),,"148.200,00",,,"148.200,00",,,,"0,00",-,"148.200,00"
OS144/2012,Mário,Cancelamento,02/04/2012,,1,03/04/2012,Connect Flex,1 Mbps,,Banco BMG,,Desativação da designação BHE-03-0016-02-011,"Ponta A: Av. João Pinheiro, 190  Ponta B: Rua Bernardo Monteiro, 971, 5º andar Sta Efigênia",Concluído,,11/04/2012,,"250,00",,"250,00",,,,"0,00",Ok,"250,00"
OS145/2012,Mário,Implantação,02/04/2012,,10,12/04/2012,EILD,10 Mbps,,Intelig,Globalbev,Implantação de EILD 10 Mbps,"Ponta A: Av. Raja Gabáglia, 1781, Luxemburgo/ Ponta b: Av,  Nossa Senhora do Carmo, 900, São Pedro",Concluído,,05/04/2012,"740,00","335,00",,"1.075,00",,,,"0,00",Incompleta,"1.075,00"
OS146/2012,Djalma,Implantação,02/04/2012,,2,03/04/2012,EILD,,,Intelig,Infraero,Instalação de cabo UTP entre Racks Intelig e Infraero,Praça Bagatelle / Aeroporto Pampulha,Concluído,,04/04/2012,"32,00",,"57,50","89,50",,,,"0,00",Incompleta,"89,50"
OS147/2012,Djalma,Implantação,02/04/2012,,7,08/04/2012,,,,Telbrax,Ativas,Instalação de cabo interno e montagem de DIO's,"Rua Agenério de Araújo, 14 e Sócrates Alvim",Concluído,,10/04/2012,"4.543,44","15.590,00","442,00","20.575,44",,,,"0,00",Incompleta,"20.575,44"
OS148/2012,Pedro,Manutenção,02/04/2012,,,02/04/2012,,,,,,"Manutenção Bonfim e Tirol
","Rua Jaguari , 393",Concluído,,02/04/2012,"6,35",,"250,00","256,35","6,35",,"250,00","256,35",Ok,"0,00"
OS149/2012,Guilherme,Expansão,04/04/2012,,,20/04/2012,,,,Telbrax,Telbrax,Instalação de do PPI-ATIVAS-01,"Rua Agenério de Araújo, 14 e Sócrates Alvim",Concluído,,20/04/2012,"4.236,52","235,00",,"4.471,52",,,,"0,00",Incompleta,"4.471,52"
OS150/2012,Guilherme,Expansão,04/04/2012,,,20/04/2012,,,,Telbrax,Telbrax,Instalação de do PPI-ATIVAS-02,"Rua Agenério de Araújo, 14 e Sócrates Alvim",Em Execução,Depende da finalização da OS 076 e 079/2012 (Djalma),,"4.236,52","235,00",,"4.471,52",,,,"0,00",-,"4.471,52"
OS151/2012,Ruan,Infraestrutura,05/04/2012,,,09/04/2012,,,,Telbrax,Telbrax,Alarme de energia no NOC,"Rua Pirapetinga, 322 - Sl 309 - Serra",Concluído,,24/04/2012,"100,00",,,"100,00",,,,"0,00",Incompleta,"100,00"
OS152/2012,Pedro,Manutenção,09/04/2012,,,09/04/2012,,,,Telbrax Ltda,Axial,Reinstalação de tampa R1 próximo a super luna,Betim - Próximo a super luna,Concluído,,09/04/2012,"236,00",,"250,00","486,00",,,"250,00","250,00",Ok,"236,00"
OS153/2012,Jan,Tecnologia,11/04/2012,,,25/04/2012,,,,Telbrax,Telbrax,Compra do Micro da Geneci. ,"Rua Pirapetinga, 322 - Sl 309 - Serra",Concluído,,,"2499,62",,,"2.499,62",,,,"0,00",Incompleta,"2.499,62"
OS154/2012,Jan,Tecnologia,11/04/2012,,,01/05/2011,,,,Telbrax,Telbrax,Licenciamento de Software 2012,"Rua Pirapetinga, 322 - Sl 309 - Serra",Concluído,,,"16.196,75",,,"16.196,75",,,,"0,00",Incompleta,"16.196,75"
OS155/2012,Mário,Implantação,12/04/2012,,1,13/04/2012,IP Flex Temporário,5 Mbps,/30,Quality,,Implantação de IP Flex para atendimentos de evento no HOtel Quality,"Av. Afonso Pena, 3761, Sala de convenções",Concluído,,20/04/2012,"1.193,90","125,00",,"1.318,90",,,,"0,00",Incompleta,"1.318,90"
OS156/2012,Mário,Implantação,12/04/2012,,35,17/05/2012,Connect Flex,4 Mbps,,Acert On Line,,Implantação de Connect Flex para atendimento Acert em SP,"Ponta A: Rua 24 de maio, 77, 7º andar, Centro - São Paulo/SP/Ponta B: Av. João Pinheiro, 190, Centro - Belo Horizonte - MG",Concluído,,24/05/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS157/2012,Djalma,Manutenção,12/04/2012,,,13/04/2012,,,,,,"Rearranjo de rede, devido troca de postes no local.",Rua Titânio entre ruas Silex e Blenda - Bairro Camargos,Concluído,,16/04/2012,,,"294,00","294,00",,,,"0,00",Incompleta,"294,00"
OS158/2012,Mário,Implantação,13/04/2012,,,02/05/2012,Connect Flex,1 Mbps,,Hermes Pardini,,Implantação da unidade Barão Homem de Melo,"Ponta A: Rua Aimorés, 66, 5º andar - Funcionários/ Ponta B: Av. Barão Homem de Melo, 55, Alto Barroca",Concluído,,26/04/2012,"2.134,84","295,00","1.389,00","3.818,84","1.275,60","295,00","1.279,50","2.850,10",Ok,"968,74"
