#OS,Criado por,Tipo OS,Dt Criação,Viabilidade/PE,Prazo,Prev Entrega,Produto,Velocidade,#IPs,Cliente,Usuário Final,Projeto,Usuário/Endereço Atendido,Status,Obs Status,Data de entrega,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Materiais,Serv Telbrax,Serv Terceiros,Custo Total,Dados Completos?,Diferença de Custo
OS018/2012,Mário,Implantação,19/01/2012,,10,29/01/2012,IP Flex,10 Mbps,,Engetec,,Implantação de IP Flex 10 Mbps,"Ponta A: Rua Senador Milton Campos, 35, Sl 1603, 16º andar, Vila da Serra - Nova Lima - MG",Concluído,,23/01/2012,"1629,96",250,"191,7","2.071,66","154,50","250,00","202,50","607,00",Ok,"1.464,66"
OS019/2012,Mário,Alteração de serviço,19/01/2012,,0,19/01/2012,IP Flex,5 Mbps,,Engineering do Brasil S/A Dynpro,,Up grade temporário de IP Flex para os dias 20/01 e 27/01,"Rua Bernardo Guimarães, nº 646, 1º Andar, CJ: 101 - Funcionários",Concluído,,28/01/2012,0,0,0,"0,00",,,,"0,00",Ok,"0,00"
OS020/2012,Mário,Implantação,20/01/2012,,7,27/01/2012,IP Flex,8 Mbps,,18 Comunicação,,Implantação de IP Flex 18 Mbps na 18 Comunicação,"Rua Fernandes Tourinho, 735, 11º andar, Lourdes - BH/MG",Concluído,,26/01/2012,"2.101,06","480,00","570,30","3.151,36","932,58","480,00","579,50","1.992,08",Ok,"1.159,28"
OS021/2012,Pedro,Manutenção,20/01/2012,,,20/01/2012,,,,,,Manutenção - Acidente Barão Homem de Mello,Ru Barão Homem de Mello,Concluído,,20/01/2012,"444,22",,"450,00","894,22","444,22",,"450,00","894,22",Ok,"0,00"
OS022/2012,Pedro,Manutenção,24/01/2012,,,24/01/2012,,,,,,"Danos em Dutos na obra da Savassi pela PBH
",Dutos na Savassi,Concluído,,24/01/2012,,,"4.520,00","4.520,00",,,"4.520,00","4.520,00",Ok,"0,00"
OS023/2012,Mário,Implantação,25/01/2012,,15,09/02/2012,IP Flex,2 Mbps,/29,MRV Engenharia,,Implantação de IP Flex 2 Mbps. Cliente precisa de 20 IP´s fixos,"Rua Arterial, 655, Bairro Santa Maria - Contagem/MG Cep: 32.240-185",Concluído,,03/02/2012,"1.942,25","450,00","459,90","2.852,15","624,00","450,00","591,50","1.665,50",Ok,"1.186,65"
OS024/2012,Mário,Alteração de serviço,26/01/2012,,0,26/01/2012,IP Flex,12 Mbps,/29,Banco Rural,,Alteração de /,Alteração de \27 para \26.,Concluído,,26/01/2012,"0,00","0,00","0,00","0,00",,,,"0,00",Ok,"0,00"
OS025/2012,Mário,Expansão,26/01/2012,,0,26/01/2012,,,,Telbrax,,OS para expansão de rede Camargos,"Ponta A: Rua Senador Milton Campos, 810, / Ponta B: Rua José Moreira Mota, 430",Concluído,Essa OS será inclusa no OS079/2012,13/02/2012,"19182,77",,"32.804,25","51.987,02","19.182,77",,"32.804,25","51.987,02",Ok,"0,00"
OS026/2012,Mário,Expansão,27/01/2012,,1,28/01/2012,,,,Telbrax,,OS para ativação das réguas de energia dos racks de servidores do Datacenter,"Rua Pirapetinga, 322, sl 309",Concluído,Ruan / Marcos,29/01/2012,"27,50","0,00","0,00","27,50",,,,"0,00",Incompleta,"27,50"
OS027/2012,Mário,Implantação,27/01/2012,,20,16/02/2012,IP Flex,5 Mbps,/29,Fundação Unimed,,OS para implantação de IP Flex na Fundação Unimed,"Ponta A: Av. Brasil, 888, 10º andar, Funcionários - BH/MG",Concluído,,13/02/2012,"1.804,58","330,00","181,05","2.315,63",,,,"0,00",Incompleta,"2.315,63"
OS028/2012,Mário,Implantação,27/01/2012,,18,14/02/2012,EILD,5 Mbps,,Intelig Telecomunicações Ltda,Embaixada dos Estados Unidos,Os para implantação de EILD 5 Mbps na embaixada dos EUA em Belo Horizonte,"Ponta A: Rua Jornalista Geraldo Teixeira da Costa, 61, Floresta/Ponta B: Av. Do contorno, 4520, 8º andar, Funcionários",Concluído,,08/02/2012,"1.063,63","455,00","356,40","1.875,03","486,29","455,00","372,25","1.313,54",Ok,"561,49"
OS029/2012,Pedro,Manutenção,26/01/2012,,,26/01/2012,,,,,,Troca de poste Cemig (Redisposição de cabo alto sustentável),Rua Teixeira Soares,Concluído,,26/01/2012,"32,07",,"485,20","517,27","32,07",,"485,2","517,27",Ok,"0,00"
OS030/2012,Rubens,Datacenter,27/01/2012,,,29/01/2012,Data Center,,,Telbrax,,Criar estrutura de backup do DataCenter do SRA para o PRO,Matriz <-> POP_PRO,Concluído,Ruan / Jan,26/01/2012,"12.339,40",,,"12.339,40","12339,4",,,"12.339,40",Ok,"0,00"
OS031/2012,Pedro,Manutenção,26/01/2012,,,26/01/2012,,,,,,Troca de poste Cemig (Av Contorno c/ Marilia de Dirceu),Av. do Contorno c/ Marília de Dirceu - Rua Santa Catarina c/ Antônio Aleixo,Concluído,,26/01/2012,,,"390,00","390,00",,,390,"390,00",Ok,"0,00"
